,,,,,,,,,
#,Category,Capability, User Story,Required?,Priority,Status,Frontend,Backend,Client comments
,Room Assignment & Management,Deposit Processing & Receipt Handling,"As a Provider, I should be able to record receipt of a security deposit, automatically update the resident status to ""DEPOSIT RECEIVED"", and send the deposit receipt to the responsible party.",,,New,,,
,,,,,,New,,,
,Pre-Admission Assessment,RN Assessment,"As a Provider, I should be able to schedule RN assessment",,,New,,,
,Pre-Admission Assessment,Add Details,"As Provider, I should be able to add assessment details in the Assessment form.",,,New,,,
,Pre-Admission Assessment,Edit Details,"As a Provider, I should be able to edit pre-admission assessment.
",,,New,,,
,Pre-Admission Assessment,Send Assessment for RN Signature,"As a Provider, I should be able to send assessment to RN  for electronic signature",,,New,,,
,,,,,,,,,
,Pre-Admission Assessment,Care Level Decision,"As a Provider, I should be able to view completed assessment to determine if facility can manage care level.",,,New,,,
,Pre-Admission Assessment,Approve / reject Admission,"As a Provider, I should be able to approve / reject admission ",,,New,,,
,Pre-Admission Assessment,Notify Decline Decision,"As a Provider, I should be able to notify family/responsible party of decline decision ",,,New,,,
,Pre-Admission Assessment,Release Room Hold,"As a Provider, I should be able to release room hold and make room available again upon decline.",,,New,,,
,,,,,,,,,
,Admission Processing,Room Assignment Finalization,"As a Provider, I should be able to assign specific room/suite to approved resident after resident admission approves.",,,New,,,
,Admission Processing,Update Room Status,"As a Provider, I should be able to change room status from HOLD to OCCUPIED.",,,New,,,
,Admission Processing,Set Move-in Date,"As a Provider, I should be able to add move-in date for resident.",,,New,,,
,Admission Processing,Activate Resident Status,"As a Provider, I should be able to update resident status to ACTIVE upon admission approval.",,,New,,,
,Admission Processing,Update Census Report,"As a Provider, I should be able to automatically update census report with Occupied Beds +1, Available Beds -1., Deposit Received -1.",,,New,,,
,,,,,,,,,
,Discharge Process,Step - 1 Discharge Initiation,"As a Provider, I should be able to click on the “Discharge” action from the resident list.",,,New,,,
,Discharge Process,Fill Discharge Details,"As a Provider, I should be able to fill all the discharge details with mandatory discharge reason from predefined categories (Cannot Skip).",,,New,,,
,Discharge Process,Add Discharge Events,"As a Provider, I should be able to add specific events leading to discharge decision.",,,New,,,
,Discharge Process,Fill Mandatory Discharge Survey,"As a Provider, I should be able to fill mandatory discharge survey/comment",,,New,,,
,Discharge Process,Step - 2 Notification and Care Coordination,"As a Privider, I should be able to select and send notification to 
- Parent/Guardian
- Primary Caregiver
- Care team members
- Case Manager with EDWP  mail",,,New,,,
,Discharge Process,View Signed EDWP Form,"As a Provider, I should be able to view the EDWP form once it has been signed and returned by the Case Manager, and the signed EDWP should be stored under a dedicated sub-tab within the Documents section.",,,New,,,
,Discharge Process,Step - 3 Final Evaluation,"As a Provider, I should be able to fill staff discharge survey  (Final Evaluation) form.",,,New,,,
,Discharge Process,Discharge Surveys,"As a Provider, I should be able to add resident/family discharge survey capturing their feedback.",,,New,,,
,Discharge Process,Add Quality of Care Rating,"As a Provider, I should be able to add quality of care rating from resident/family.",,,New,,,
,Discharge Process,Step -4,"As a Provider, I should be able to preview discharge confirmation details.",,,New,,,
,Discharge Process,Create Final Medication List,"As a Provider, I should be able to create final medication list showing all medications at discharge.",,,New,,,
,Discharge Process,Include Outstanding Balances,"As a Provider, I should be able to include any outstanding balances on final invoice.",,,New,,,
,Discharge Process,Apply Security Deposit Deductions,"As a Provider, I should be able to apply any applicable deductions (unpaid balances, damages) to security deposit.",,,New,,,
,Discharge Process,Calculate Final Refund,"As a Provider, I should be able to calculate final refund amount after all deductions.",,,New,,,
,Discharge Process,Financial Closing,"As a Provider, I should be able to generate final billing invoice showing all services through discharge date.",,,New,,,
,Discharge Process,Initiate Refund Request,"As a Provider, I should be able to initiate a refund request that goes through a three-level approval workflow",,,New,,,
,Discharge Process,Send Refund Check,"As a Provider, I should be able to send refund check to responsible party ",,,New,,,
,Discharge Process,Room Release & Census Update,"As a Provider, I should be able to release discharged resident's room and mark as AVAILABLE.",,,New,,,
,Discharge Process,Update Census Report on Discharge,"As a Provider, I should be able to automatically update census report with Occupied Beds -1, Available Beds +1.",,,New,,,
,Discharge Process,Record Archival,"As a Provider, I should be able to archive complete resident record with 7-year retention for compliance.",,,New,,,
,Discharge Process,Preserve Historical Data,"As a Provider, I should be able to preserve all historical data including clinical, financial, and administrative records.",,,New,,,
Patient Charting,,,,,,,,,
,Patient overview,Create new note,"As a provider, I should be able to create new visit notes from patients' charts. ",Yes,Must have,Retained,2,2,
,Patient overview,Patient flag,"As a provider, I should be able to add, update, or delete flags for patients.",Yes,Must have,Retained,2,2,
,Patient overview,Add note,"As a provider, I should be able to add note for other staff member.",Yes,Must have,Retained,2,4,
,Patient overview,Send message ,"As a provider, I should be able to send message to patients or providers.",Yes,Must have,Retained,8,8,
,,,,,,,,,
,Patient Charting (Common for ADH and ALF),Add Medication,"As a Provider, I should be able to add Medication of the resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),Edit Medication,"As a Provider, I should be able to edit Medication of the resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),View list of Medication,"As a Provider, I should be able to view list of Medications for a resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),Search and filter,"As a Provider, I should be able search and filter medications of the resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),Add Vitals,"As a Provider , I should be able to add Vitals of the resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),Edit Vitals,"As a Provider , I should be able to edit Vitals of the resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),View List of Vitals,"As a Provider , I should be able to view list of Vitals for a resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),Search/Filter Vitals,"As a Provider, I should be able to search and filter vitals of the resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),Add Allergies,"As a Provider , I should be able to add Allergies of the resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),Edit Allergies,"As a Provider , I should be able to edit Allergies of the resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),View list of Allergies,"As a Provider , I should be able to view list of Allergies for a resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),Search/Filter Allergies,"As a Provider, I should be able search and filter Allergies of the resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),Add Progress Notes,"As a Provider , I should be able to add Progress Notes of the resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),Edit Progress Notes,"As a Provider , I should be able to edit Progress Notes of the resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),VIew list of Progress Notes,"As a Provider , I should be able to view list of Progress Notes for a resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),Search/Filter Progress Notes,"As a Provider, I should be able search and filter Progress Notes of the resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),Add Activities,"As a Provider , I should be able to add Activities of the resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),Edit Activities,"As a Provider , I should be able to edit Activities of the resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),View list of Activities,"As a Provider , I should be able to view list of Activities for a resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),Search/Filter Activities,"As a Provider, I should be able to search and filter Activies of the resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),Add Documents,"As a Provider, I should be able to add Documents of the resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),Edit Documents,"As a Provider, I should be able to edit Documents of the resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),View list of Documents,"As a Provider, I should be able to view list of Documents for a resident.",,,New,,,
